Restaurant Name,Restaurant Type,Restaurant Location,Restaurant Rating,Restaurant Price
360 Bistro,American,Belle Meade,4.9,$$$
Anjelica's Restaurant,Italian,Sea Bright,5.0,$$$
Annie Gunn's,American,Chesterfield,4.9,$$$
Arethusa al Tavolo,Contemporary American,Bantam,4.9,$$$
Artisan,American,Elkhart,4.9,$$$
Baci Restaurant - San Diego,Italian,Old Town,4.9,$$$
Barrique Venice,Italian,Venice,4.8,$$
Bici,Italian,Ramsey,4.9,$$$
Bistro Aracosia,Afghan,Palisades Northwest,4.9,$$
Bistro L'Hermitage,French,Woodbridge,4.9,$$$
Bites & Bubbles,Contemporary American,Downtown Orlando,4.5,$$$
Blue Ridge Grill,American,Buckhead,4.9,$$$$
Bonnell's Fine Texas Cuisine,Southwest,Fort Worth Cultural District & TCU,4.9,$$$$
Bouchard Restaurant and Inn,Contemporary French,"Newport, Rhode Island",4.9,$$$
Buccan,Contemporary American,Palm Beach,4.8,$$$
Café Ba-Ba-Reeba,Tapas / Small Plates,Lincoln Park,4.8,$$
Cafe Longet,Contemporary French,Venice,4.8,$$
Cafe Monarch,Contemporary American,Old Town Scottsdale,4.9,$$$$
Cafe Provence,French American,Prairie Village,4.9,$$$
Capo Restaurant,Italian,South Boston,4.7,$$$
CDM Restaurant,American,Corona del Mar,4.8,$$
Cesarina,Italian,Ocean Beach,4.9,$$
Charlie's Coastal Bistro (L'etoile Verte),Seafood,Hilton Head Island,4.9,$$$
Del Vino Vineyards,Winery,Northport,4.9,$$
Dominick's Steakhouse,Steakhouse,Scottsdale Quarter/Kierland Commons,4.9,$$$$
Eddie V's - Orlando,Seafood,Doctor Phillips,4.8,$$$
Elia Authentic Greek Taverna,Greek,Summerlin,4.9,$$$
Fat Canary,Contemporary American,Williamsburg,4.8,$$$$
Filomena Ristorante,Italian,Georgetown,4.8,$$$
Flight Restaurant & Wine Bar,American,Downtown,4.9,$$$
Geronimo,Fusion / Eclectic,Santa Fe,5.0,$$$
GW Fins,Seafood,French Quarter,4.9,$$$$
Hannas Prime Steak,Steakhouse,Mission Viejo / Rancho Santa Margarita,4.8,$$$$
House of Prime Rib,Steak,Civic Center / Hayes Valley / Van Ness,4.8,$$$$
JG SkyHigh,French,Center City,4.8,$$$
"Joe's Seafood, Prime Steak & Stone Crab - Las Vegas",Seafood,Forum Shops at Caesars,4.8,$$$$
Kokkari Estiatorio,Mediterranean,Financial District / Embarcadero,4.9,$$$
La Bistecca Italian Grille,Italian,Plymouth,4.9,$$$
La Grotta,Italian,Buckhead,4.9,$$$
La Nouvelle Maison,French,Boca Raton,4.8,$$$$
La Strega,Italian,Spring Valley,4.8,$$$
Lahaina Grill,American,Lahaina,4.9,$$$$
Le Colonial - Chicago,Vietnamese,Gold Coast / Streeterville,4.8,$$$
Le Diplomate,French,Logan Circle,4.8,$$$
Le Yaca - Virginia Beach,French,Virginia Beach,4.9,$$$
Lincoln Tavern and Restaurant,American,South Boston,4.8,$$
Llama Restaurant,Peruvian,St. Augustine,4.9,$$$
Loco Taqueria & Oyster Bar,Mexican,South Boston,4.8,$$
M Sushi,Sushi,Durham,4.9,$$$
Majorelle,French,Upper East Side,4.8,$$$$
Mama's Fish House,Fish,Paia,4.9,$$$$
Mamma Maria,Italian,North End,4.8,$$$
Mot Hai Ba - Lakewood,Vietnamese,Lakewood / White Rock Lake,4.9,$$$
Musso & Frank Grill,Steakhouse,Hollywood,4.9,$$$
O-Ku - Nashville,Sushi,Nashville,4.9,$$$
Ocean 44,Seafood,Central Scottsdale,4.9,$$$$
Ocean Prime - Tampa,Seafood,Tampa,4.8,$$$
Our Mom Eugenia - Great Falls,Greek,Great Falls,4.8,$$$
Parc,French,Rittenhouse Square,4.8,$$
Paris 7th,Traditional French,West 7th Corridor,4.9,$$$
Partage,French,Chinatown,4.9,$$$$
Pepp & Dolores,Italian,Over the Rhine,4.9,$$
Portosole,Italian,Coral Gables,4.7,$$$
Red Ash Italia,Italian,Downtown,4.9,$$$$
Riccardo Enoteca,Italian,Lincoln Park,4.9,$$$
RL Restaurant,American,Gold Coast / Streeterville,4.9,$$$$
Rose Mary,Croatian,West Loop,4.8,$$
Rosina's Italian Restaurant,Italian,Poway / Rancho Bernardo,4.7,$$
Rosmarino Osteria Italiana,Italian,Newberg,5.0,$$$
Ruth's Chris Steak House - Baton Rouge,Steakhouse,Baton Rouge,5.0,$$$$
Saint Lawrence Spirits On The River Chateau,Farm-to-table,Clayton,4.9,$$$
Saloon Restaurant,Italian,South Philly,4.9,$$$$
Salt,Speakeasy,Arlington,4.8,$$
Salum Restaurant,Contemporary American,Uptown,4.8,$$$
Satchel's on 6th,American,Cherry Creek,4.8,$$$
Savour,American,Tallahassee,4.9,$$$
Sergio's Ristorante,Italian,Pelham,4.9,$$$
Sotto,Italian,Central Business District,4.9,$$$$
South of Nick's - Laguna Beach,Mexican,Laguna Beach,4.8,$$
State of Grace,Contemporary Southern,Upper Kirby / Shepherd Corridor,4.9,$$$
St Francisville Inn & Restaurant,American,Saint Francisville,4.9,$$$$
Steak 44,Steakhouse,Central Phoenix,4.9,$$$$
Steak 48 - Houston,Steakhouse,River Oaks,4.9,$$$$
Terzo,Mediterranean,Marina / Cow Hollow / Presidio,4.8,$$$
The Boathouse,American,Lake Buena Vista,4.7,$$$
The Crossing,French,Clayton,4.9,$$$
The Dock,Seafood,Newport Beach,5.0,$$$$
The Grand Tavern,American,Neptune,4.9,$$$
The House of William & Merry,Contemporary American,Hockessin,4.9,$$$
The Metro Wine Bar & Bistro,Contemporary American,Nichols Hills,4.9,$$$
The Original Spence Cafe,American,West Chester,4.8,$$$
The Stables,Contemporary American,Richmond,4.8,$$$
Truluck's - Ocean's Finest Seafood & Crab - Naples,Seafood,Naples,4.8,$$$$
TwentyTwenty Grille,Steakhouse,Boca Raton,4.5,$$
Uchi Houston,Sushi,Midtown / Montrose,4.9,$$$$
Uchiko Austin,Sushi,Central Austin,4.9,$$$$
Vargas Cut & Catch,Steakhouse,Galveston,4.9,$$$
Washington Inn,American,Cape May,4.8,$$$
West Rose,Contemporary American,Buffalo,4.8,$$$
Wildflower - Denver,Contemporary American,Highlands,4.9,$$$
